,NAME10,low_percent_no_internet,not_low_percent_no_internet,internet_lnl_fc,low_percent_no_laptop,not_low_percent_no_laptop,laptop_lnl_fc
13,Alameda County (North)--Berkeley & Albany Cities,1.0914699252580378,0.2932710584912833,3.721710321069676,6.9306930693069315,0.38910505836575876,17.811881188118814
3,San Francisco County (North & West)--Richmond District,12.92693859255939,0.36177787986677384,35.73169978584591,16.3265306122449,1.1299435028248588,14.448979591836734
15,San Francisco County (Central)--South of Market & Potrero,16.23527311674402,0.5986253787598848,27.120923523785592,25.806451612903224,1.834862385321101,14.064516129032256
0,San Francisco County (Central)--Sunset District (North),4.705882352941177,0.5231949773282176,8.99450980392157,8.411214953271028,0.7194244604316548,11.691588785046727
16,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",11.899482631189949,2.3404826765913365,5.084200259290223,10.95890410958904,1.1111111111111112,9.863013698630136
1,Contra Costa County (East)--Brentwood & Oakley Cities,2.050040355125101,1.1073253833049403,1.851344136089899,11.11111111111111,1.2121212121212122,9.166666666666666
11,San Francisco County (Central)--Inner Mission & Castro,7.553135429474794,2.5185895898296953,2.9989544386171825,14.000000000000002,1.7964071856287425,7.793333333333335
14,San Francisco County (North & East)--North Beach & Chinatown,24.382069543359865,1.5630168706582865,15.59936428139193,25.301204819277107,3.389830508474576,7.4638554216867465
22,Alameda County (South Central)--Fremont City (East),12.663911060433295,1.1737211113996364,10.789540153479782,9.929078014184398,1.3921113689095126,7.132387706855794
4,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",12.507130633200228,1.2503766194636938,10.002690740142544,21.818181818181817,3.260869565217391,6.6909090909090905
10,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities,18.112498041468637,1.301102513182223,13.920884678924551,29.78723404255319,5.0,5.957446808510638
19,Alameda County (Northeast)--Oakland (East) & Piedmont Cities,11.268454353721001,1.575469417358369,7.152442459095852,10.95890410958904,1.929260450160772,5.680365296803652
21,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",12.70178701919883,3.4774985388661603,3.652564300814991,27.40740740740741,6.698564593301436,4.091534391534392
5,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",6.930783242258652,2.007315957933242,3.4527614922140484,7.526881720430108,1.8433179723502304,4.083333333333334
23,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,7.135844888943429,1.4413085741100757,4.950948753877634,20.26143790849673,4.964539007092199,4.081232492997199
2,Alameda County (Central)--Hayward City,13.457366022998482,2.3988627613575786,5.60989408805638,19.806763285024154,5.1020408163265305,3.882125603864734
8,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",4.445803126910647,2.155330641355079,2.062701212337205,11.29032258064516,3.004291845493562,3.758064516129032
6,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",10.981856990394878,3.2756024096385543,3.3526220881021604,18.6046511627907,5.042016806722689,3.6899224806201554
25,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",12.794529576536497,0.9196110353324239,13.912979602198325,12.686567164179104,3.6900369003690034,3.4380597014925374
17,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,9.043195297328504,1.519468186134853,5.951552905054322,34.78260869565217,10.465116279069768,3.3236714975845407
24,San Francisco County (South Central)--Bayview & Hunters Point,7.333929103366101,1.748400852878465,4.194649694486221,17.647058823529413,5.376344086021505,3.282352941176471
12,San Francisco County (South Central)--Sunset District (South),5.317953711332485,1.9864087820177732,2.6771698552050114,7.874015748031496,2.941176470588235,2.677165354330709
20,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities",2.688660865047409,0.3994079841047787,6.731615220646363,2.9197080291970803,1.1583011583011582,2.5206812652068127
9,Contra Costa County (Northeast)--Antioch City,18.067257674554913,5.623016420587829,3.2130899722085755,19.81132075471698,8.264462809917356,2.3971698113207545
7,Alameda County (North Central)--Oakland City (South Central),26.32182261068921,1.7263783181733803,15.246844989654063,36.27450980392157,17.1875,2.1105169340463457
18,Contra Costa County (South)--San Ramon City & Danville Town,0.0,0.8563668317622624,0.0,2.0408163265306123,2.2435897435897436,0.9096209912536444
